random	noun/verb	location	#1 String	#2 String
connect	V	3-2	The two streets connect to become a highway	Our computers connected together .
head	N	3-3	She gave great head .	They shot 20 head of quail
erase	V	3-1	The files will erase quickly .	I erased that note because it was wrong .
cut	V	3-0	We had to cut short the conversation	cut class
part	N	5-2	he wanted to feel a part of something bigger than himself	the rear part of the house
line	N	2-4	a washing line	he has a smooth line but I did n't fall for it
shock	N	2-8	the first shock of the earthquake came shortly after noon while workers were at lunch	The train hit the buffers with a great shock .
make	V	2-1	She 'll make a fine president .	We made for the mountains
break	V	0-0	break cigarette smoking	break a fall
end	N	1-1	the end of the year	one end of the box was marked ` This side up '
describe	V	5-1	The feeling is difficult to describe , but not unpleasant .	He described going to work .
work	V	3-2	I can not work a miracle	His fingers worked with tension
run	V	2-2	the heifers run with the bulls to produce offspring	he is running the Marathon this year
hit	V	2-2	The car hit a tree	The ball hit the fence .
class	N	3-6	an emerging professional class	flirting is not unknown in college classes
tea	N	8-11	the store shelves held many different kinds of tea	Would you be a dear and get me a cup of tea , please ?
wash	V	9-1	The car is so dirty , we need to wash it .	he washed the dirt from his coat
make	V	5-4	have , throw , or make a party	This company is what made you .
take	V	0-4	take a scene	Tomorrow the doctor will take the cast off her arm .
check	V	0-0	check the brakes	Check the growth of communism in South East Asia
be	V	2-4	I may be an hour	When will the meeting be ?
side	N	5-6	it brought out his better side	they always sat on the right side of the church
post	V	2-0	I 'll post the news on the bulletin board	Post a sentinel in front of the door .
catch	V	3-2	ears open to catch every sound	If he catches you on the chin , you 'll be on the mat .
blip	N	7-5	renewed jitters in the wake of a blip in retail sales	the market had one bad blip today
work	V	3-4	The artist 's work influenced the young painter	This dough does not work easily ;    the soft metal works well
use	V	2-6	we only use Spanish at home	He does n't know how to use a computer
date	N	3-11	I arranged a date with my Australian business partners .	she asked how to avoid kissing at the end of a date
come	V	3-2	your wish will come true	The bill came to $ 2,000
keep	V	3-3	I can not keep track of all my employees	He has been keeping orchids since retiring .
trust	V	2-3	We can trust in God	In God We Trust - written on denominations of US currency
know	V	1-2	We know this movie	Do you know my sister ?
play	V	3-7	Charlie likes to play Mary	The engine has a wheel that is playing in a rack
draw	V	7-2	A ship 's sail is said to draw when it is filled with wind .	This horse draws well .
assumption	N	1-6	Their assumption of his guilt disqualified them from jury duty .	any society is built upon certain assumptions
pick	V	1-2	To pick rags	She finally picked her successor
eye	N	4-5	That dress caught her eye .	he tried to catch her eye
chain	N	1-6	A chain of ideas , one leading to the next	The third link of the silver chain needs to be resoldered .
draw	V	0-0	draw a weapon	draw a wagon
work	V	5-4	Start from the bottom and work towards the top	This dough does not work easily
mount	V	0-0	mount an attack	mount a theater production
break	V	5-0	The book dealer would not break the set	break off the negotiations
lift	N	4-4	He gave me a lift to the bus station .	he gave me a lift home
run	V	0-5	run a subject	I 'm not ready to run a marathon .
burn	V	1-2	To burn the mouth with pepper	She was burning with anger
motion	N	5-3	the cinema relies on apparent motion	he made a motion to adjourn
throw	N	8-7	Football tickets are expensive at fifty bucks a throw .	he could n't afford $ 50 a throw
call	V	3-0	We could always call on a friend .     The engineer called round whilst you were away .	Call the outcome of an election
tolerate	V	3-2	he learned to tolerate the heat	I can tolerate working on Saturdays , but not on Sundays .
haul	V	0-0	haul nets	haul stones
dozen	N	3-7	I ordered two dozen doughnuts .	There should n't be more than two dozen Christmas cards left to write .
point	N	4-3	10.5 ( " ten point five " ; = ten and a half )	he stuck the point of the knife into a tree
wall	N	4-1	We 're adding another wall in this room during the remodeling .	stomach walls
give	V	4-1	This material does n't give	He gave his life for his children
keep	V	0-0	keep count	keep appointments
taste	N	4-4	arrogance and lack of taste contributed to his rapid success	she enjoyed her brief taste of independence
stick	N	1-6	A stick of wood	The recipe calls for half a stick of butter .
make	V	3-0	What do you make of his remarks ?	make a stir
kill	V	0-2	kill the engine	She was killed in the collision of three cars
place	N	11-5	We thought we would win but only ended up in fourth place .	If you were in my place what would you do ?
go	V	5-5	These ugly billboards have to go !	This chair has got to go .
licking	N	5-4	Our football team took a licking last night .	they suffered a convincing licking
rule	N	1-8	the rule of St. Dominic	he determined the upper bound with Descartes ' rule of signs
carry	V	0-1	carry a cause	I carry her image in my mind 's eye
set	N	1-1	a set of teeth	a set of books
save	V	2-2	I 'll save you the trouble	This will save money
break	V	3-9	Did you two break the trolley by racing with it ?	On the hottest day of the year the refrigerator broke .
clear	V	3-2	The check will clear within 2 business days	The sky cleared after the storm
fall	V	4-4	The line of men fall forward	The most difficult task fell on the youngest member of the team
evade	V	5-4	This difficult idea seems to evade her	The con man always evades
respect	N	7-2	he went to law school out of respect for his father 's wishes	he inspires respect
body	N	1-1	a body of precedents	a body of doctrine
break	V	6-4	I do n't know how to break this to you , but your cat is not coming back .	News of her death broke in the morning
life	N	13-0	Having experienced both , the vampire decided that he preferred ( un)death to life .	life depends on many chemical and physical processes
war	N	2-9	The " war on terror " is a campaign against terrorist crime .	In the US , conservatives rail against the " war on Christmas " .
bite	N	4-12	the government 's weekly bite from my paycheck	After just one night in the jungle I was covered with mosquito bites .
carry	V	1-2	To carry the war from Greece into Asia	The airwaves carry the sound
remember	V	3-1	I ca n't remember saying any such thing	I remember the concert clearly , but I ca n't recollect why I was there .
etiolation	N	1-1	his etiolation signaled years in prison	the etiolation of celery
vehicle	N	5-4	the play was just a vehicle to display her talents	his editorials provided a vehicle for his political views
run	V	0-4	run a new program on the Mac	The car is still running -- turn it off !
top	N	6-4	he stared as she buttoned her top	put your books on top of the desk
charge	V	5-1	Will you pay cash or charge the purchase ?	He charged his weapon at me
carry	V	2-1	I will carry the secret to my grave	I carry a lot of life insurance
body	N	3-3	What 's a body got ta do to get a drink around here ?	they found the body in the lake
stay	V	1-3	To stay a flat sheet in a steam boiler	I had to stay at home and watch the children
metric	N	5-6	convert all the measurements to metric units	it is easier to work in metric
operation	N	5-5	a large - scale farming operation	it can perform millions of operations per second
night	N	4-5	it vanished into the night	The cat disappeared into the night .
dwelling	N	6-2	The old house served as a dwelling for Albert .	Philip 's dwelling fronted on the street . - Alfred Tennyson
make	V	0-1	make a mess in one 's office	He made as if to punch him , but they both laughed and shook hands .
neighborhood	N	1-5	my neighborhood voted for Bush	the price is in the neighborhood of $ 100
belong	V	4-5	These pages do n't belong	the uniform looks like it belonged to a museum collection
break	N	3-1	there was a break in the action when a player was hurt	the break in the eighth frame cost him the match
run	V	0-0	run rogue	Run to the store !
carry	V	2-2	Do you carry kerosene heaters ?	The loan carries a high interest rate
pay	V	2-1	Does she pay you for the work you are doing ?	He paid off the loan three months early .
